ELE/MEC,EQUIPAMENTO,MARCA ,MODELO,RANGE,"UNIDADE
RANGE",COD INTERNO,SERIAL,DIVISÃO,PS,ENTRADA OF ET,SAÍDA/CAL,RETORNO CAL,ULTIMA CALIBRAÇÃO,CICLO CALIBRAÇÃO,PRÓXIMA CALIBRAÇÃO,VALIDADE CALIBRAÇÃO,CERTIFICADO  ,SITUAÇÃO,COMENTÁRIOS,CUSTO ESTIMADO,CUSTO CONTRAT (R$),PAGAMENTO,LOCAL CALIBRAÇÃO,item,CERTIFICADO 
MEC,TORQUÍMETRO ,SAM,Sam - type II classe A - 5-25 Nm,25.0,Nm,MAN-EXO-MEC-017,193700110,EXOCET,,09/16/24,09/18/24,11/10/25,11/06/25,12,11/06/26,CALIBRADO,1628/23,CMASM,,R$ 100.00,R$ 70.00,,MQT 129/2025,,
MEC,TORQUÍMETRO ,FACOM,Facom - A-301 MT 15-75c nM,75.0,Nm,MAN-EXO-MEC-019,7090062,EXOCET,,09/16/24,09/18/24,11/10/25,11/06/25,12,11/06/26,CALIBRADO,1643/23,CMASM,,R$ 100.00,R$ 70.00,,MQT 129/2025,,
MEC,TORQUÍMETRO ,FACOM,Facom - A404 2-10 Nm,10.0,Nm,MAN-EXO-MEC-020,x030736,EXOCET,,"16/09/2024
",09/18/24,11/10/25,11/06/25,12,11/06/26,CALIBRADO,1642/23,CMASM,,R$ 100.00,R$ 70.00,,MQT 129/2025,,
MEC,TORQUÍMETRO ,FACOM,"Facom - A402 0,5-2,5Nm",2.5,Nm,MAN-EXO-MEC-021,v090567,EXOCET,,10/24/24,09/16/24,11/10/25,11/06/25,12,11/06/26,CALIBRADO,1635/23,CMASM,,R$ 100.00,R$ 70.00,,MQT 129/2025,,
MEC,TORQUÍMETRO ,FACOM,Facom - 20-100 Nm,100.0,Nm,MAN-EXO-MEC-022,y070411,EXOCET,MQT LT2 / 2026,09/16/24,09/18/24,10/16/24,09/16/24,12,09/16/25,DESCALIBRADO,1632/23,CMASM,,R$ 100.00,R$ 70.00,,MQT 129/2025,35,
MEC,TORQUÍMETRO ,FACOM,Facom - 20-100 Nm,100.0,Nm,MAN-EXO-MEC-023,y050048,EXOCET,MQT LT2 / 2026,09/16/24,09/18/24,10/16/24,09/16/24,12,09/16/25,DESCALIBRADO,1634/23,CMASM,,R$ 100.00,R$ 70.00,,MQT 129/2025,35,
MEC,TORQUÍMETRO ,FACOM,Facom - 5-25 Nm,25.0,Nm,MAN-EXO-MEC-024,y020215,EXOCET,,09/16/24,09/18/24,11/10/25,11/06/25,12,11/06/26,CALIBRADO,1631/23,CMASM,,R$ 100.00,R$ 70.00,,MQT 129/2025,,
MEC,TORQUÍMETRO ,FACOM,Facom - 1-5 Nm,5.0,Nm,MAN-EXO-MEC-025,y020171,EXOCET,,09/16/24,09/18/24,11/10/25,11/06/25,12,11/06/26,CALIBRADO,1639/23,CMASM,,R$ 100.00,R$ 70.00,,MQT 129/2025,,
MEC,TORQUÍMETRO ,FACOM,Facom - 2-10 Nm,10.0,Nm,MAN-EXO-MEC-026,y030048,EXOCET,,10/24/24,09/16/24,09/18/24,11/06/25,12,11/06/26,CALIBRADO,1630/23,CMASM,,R$ 100.00,R$ 70.00,,MQT 129/2025,,
MEC,TORQUÍMETRO ,FACOM,Facom - 4-2 daNm,200.0,Nm,MAN-EXO-MEC-027,x100188,EXOCET,,09/16/24,09/18/24,11/10/25,11/06/25,12,11/06/26,CALIBRADO,1640/23,CMASM,,R$ 100.00,R$ 70.00,,MQT 129/2025,,
